variant,label,freeze_mode,lmbda,quality,avg_estimated_bpp,avg_coded_bpp,avg_psnr,avg_ms_ssim,avg_ms_ssim_db,avg_forward_ms,avg_encode_ms,avg_decode_ms,avg_codec_total_ms,avg_forward_mpix_per_s,avg_encode_mpix_per_s,avg_decode_mpix_per_s,avg_codec_total_mpix_per_s,total_params,run_name
C,Encoder+Decoder SE,none,0.0018,1,0.13129580406368604,0.13166978624131945,27.556754687199156,0.9164751643935839,10.955262153743035,11.679169747973598,72.87129304192301,91.77500320887096,164.64629625079397,33.668146664982345,5.396034344742339,4.284565363676194,2.3882468598081434,5080211,variant_C_lmbda_0.0018_quality_1_mse_freeze_none_20260528_011518
C,Encoder+Decoder SE,frozen_hyperprior,0.0018,1,0.13175742782186717,0.13200208875868055,27.542444181222304,0.9168348237872124,10.974294154234428,11.79626466849489,71.91110933248031,90.55823495752217,162.46934429000248,33.33394180703571,5.468084189634312,4.342134099504528,2.4202473501593156,5080211,variant_C_lmbda_0.0018_quality_1_mse_freeze_frozen_hyperprior_20260528_011518
C,Encoder+Decoder SE,attention_only,0.0035,2,0.20890030233810344,0.20911661783854166,29.203361684226177,0.9420579175154368,12.547513266162307,11.69126666657879,77.25504433255992,95.83554791546096,173.0905922480209,33.63331033446239,5.0898423966637365,4.103028662671873,2.2717352508480775,5080211,variant_C_lmbda_0.0035_quality_2_mse_freeze_attention_only_20260528_011518
C,Encoder+Decoder SE,frozen_hyperprior,0.0035,2,0.21095822148749396,0.21120876736111108,29.196442621217386,0.9422483742237091,12.55834329179131,11.77455237363271,74.09813466741373,92.6754257925495,166.77356045996325,33.3954096531556,5.306692290769977,4.242937074604862,2.3577838052716875,5080211,variant_C_lmbda_0.0035_quality_2_mse_freeze_frozen_hyperprior_20260528_011518
C,Encoder+Decoder SE,none,0.0035,2,0.2113810200373539,0.21184285481770834,29.208825464449983,0.941943901280562,12.536088054196526,11.708720290698693,72.02549870877799,92.53192070718796,164.55741941596594,33.583174782334446,5.459399893777861,4.24951732326307,2.3895367428315955,5080211,variant_C_lmbda_0.0035_quality_2_mse_freeze_none_20260528_011518
C,Encoder+Decoder SE,attention_only,0.0067,3,0.32180270596614313,0.3221876356336805,30.995398584817494,0.9612810413042704,14.299902619307323,11.678773083379687,75.46000154131131,93.77286445790863,169.23286599921994,33.66929018936023,5.2109195861164945,4.193281310890327,2.323520302503253,5080211,variant_C_lmbda_0.0067_quality_3_mse_freeze_attention_only_20260528_011518
C,Encoder+Decoder SE,none,0.0067,3,0.3266364232792209,0.3273281521267361,31.085589071422138,0.9614107857147852,14.319249402888898,11.666900041745976,73.60643629241774,89.44092241593656,163.0473587083543,33.70355437974202,5.3421415273776205,4.396376841591438,2.411667402127945,5080211,variant_C_lmbda_0.0067_quality_3_mse_freeze_none_20260528_011518
C,Encoder+Decoder SE,frozen_hyperprior,0.0067,3,0.32699502414713305,0.32745361328125006,31.079906568725836,0.9616226851940155,14.342487748257904,11.640154167859388,71.06782700187371,94.00530783144252,165.07313483331623,33.78099588111487,5.532967822269743,4.1829127425981225,2.382071440013862,5080211,variant_C_lmbda_0.0067_quality_3_mse_freeze_frozen_hyperprior_20260528_011518
C,Encoder+Decoder SE,attention_only,0.013,4,0.477573554445472,0.4782307942708333,32.83013273838216,0.974700262149175,16.147311810402233,11.720042292533131,71.97359825174014,89.95979391693254,161.93339216867267,33.55073217188976,5.463336689443522,4.371019350745617,2.4282576603497525,5080211,variant_C_lmbda_0.013_quality_4_mse_freeze_attention_only_20260528_011518
C,Encoder+Decoder SE,frozen_hyperprior,0.013,4,0.48714811510095996,0.4880099826388889,32.98170114600437,0.9749243905146917,16.195129240411035,11.790344959687596,74.49878112553658,95.44767120739077,169.94645233292735,33.35067814762384,5.278153468543313,4.119702398454665,2.313764098056514,5080211,variant_C_lmbda_0.013_quality_4_mse_freeze_frozen_hyperprior_20260528_011518
C,Encoder+Decoder SE,none,0.013,4,0.48736367281526327,0.4883931477864583,32.99643109335391,0.9748653719822565,16.186158382014792,11.571916832205412,73.69012645661617,91.03990437567215,164.73003083228832,33.98019582249795,5.33607443639684,4.319160951415453,2.3870328804851213,5080211,variant_C_lmbda_0.013_quality_4_mse_freeze_none_20260528_011518
bmshj2018_factorized,BMSHJ 2018 Factorized,pretrained_reference,0.0018,1,0.12238660371965833,0.1226230197482639,26.90878693768291,0.9099890813231468,10.658666979090235,10.405375539752034,70.34664112688915,89.28409858284188,159.63073970973105,37.78969807459448,5.589691187824147,4.404098896010651,2.463284958241847,2998147,variant_bmshj2018_factorized_lmbda_0.0018_quality_1_mse_reference_20260528_194012
bmshj2018_factorized,BMSHJ 2018 Factorized,pretrained_reference,0.0035,2,0.18821057097779378,0.18852742513020834,28.217926966310426,0.9360476210713387,12.134097744367315,10.484523000438154,65.59084883519972,85.36387479277134,150.95472362797105,37.5044243771097,5.994982638324666,4.6063513512544745,2.6048605207551074,2998147,variant_bmshj2018_factorized_lmbda_0.0035_quality_2_mse_reference_20260528_194012
bmshj2018_factorized,BMSHJ 2018 Factorized,pretrained_reference,0.0067,3,0.28732279936472577,0.2878078884548611,29.616911853973974,0.9554707979162534,13.697284727967189,10.440974499336638,64.81699845850623,87.66077708241937,152.4777755409256,37.66085244485395,6.066556757510521,4.485654965507495,2.5788413990500496,2998147,variant_bmshj2018_factorized_lmbda_0.0067_quality_3_mse_reference_20260528_194012
bmshj2018_factorized,BMSHJ 2018 Factorized,pretrained_reference,0.013,4,0.43970504982603925,0.4403788248697917,31.27708471591863,0.9703577334682146,15.449541893994791,10.4025425001358,68.05639712426152,88.69102066698058,156.7474177912421,37.79998976162479,5.777796307407256,4.433549157997155,2.508596349087481,2998147,variant_bmshj2018_factorized_lmbda_0.013_quality_4_mse_reference_20260528_194012
mbt2018_mean,MBT 2018 Mean,pretrained_reference,0.0018,1,0.12416048692021935,0.12392171223958333,27.69947298233046,0.9178414319952329,11.046547842705076,11.373788667697227,72.38149891539554,90.38205066705511,162.76354958245065,34.57212117161763,5.4325484535712345,4.350598344449049,2.4158726017511047,7028003,variant_mbt2018_mean_lmbda_0.0018_quality_1_mse_reference_20260528_194012
mbt2018_mean,MBT 2018 Mean,pretrained_reference,0.0035,2,0.19815726940416625,0.19798109266493058,29.358805733120708,0.9430568640430769,12.625524570822117,11.37684412606177,76.47555191700424,95.9198520413338,172.39540395833805,34.56283619982376,5.141721637089211,4.099422503597642,2.2808960736275,7028003,variant_mbt2018_mean_lmbda_0.0035_quality_2_mse_reference_20260528_194012
mbt2018_mean,MBT 2018 Mean,pretrained_reference,0.0067,3,0.307356890808377,0.30724419487847227,31.128920679899732,0.9614850630362829,14.331305671661596,11.299904292172869,78.05934112487496,95.74993483268675,173.8092759575617,34.79817083693088,5.037398398879066,4.106697311983605,2.2623418562310214,7028003,variant_mbt2018_mean_lmbda_0.0067_quality_3_mse_reference_20260528_194012
mbt2018_mean,MBT 2018 Mean,pretrained_reference,0.013,4,0.4601636261989673,0.4606119791666667,32.95067460555188,0.975204644103845,16.237442350296728,11.388028376435008,74.86148387761205,96.7826714580345,171.64415533564656,34.52889183290701,5.25258089517505,4.062876071472161,2.2908790528350607,7028003,variant_mbt2018_mean_lmbda_0.013_quality_4_mse_reference_20260528_194012
