variant,label,freeze_mode,quality,lmbda,total_params,params_millions,avg_coded_bpp,avg_psnr,avg_forward_ms,avg_encode_ms,avg_decode_ms,avg_codec_total_ms,avg_forward_mpix_per_s,avg_encode_mpix_per_s,avg_decode_mpix_per_s,avg_codec_total_mpix_per_s
bmshj2018_factorized,BMSHJ 2018 Factorized,pretrained_reference,2,0.0035,2998147,2.998147,0.18852742513020834,28.217926966310426,10.484523000438154,65.59084883519972,85.36387479277134,150.95472362797105,37.5044243771097,5.994982638324666,4.6063513512544745,2.6048605207551074
bmshj2018_factorized,BMSHJ 2018 Factorized,pretrained_reference,3,0.0067,2998147,2.998147,0.2878078884548611,29.616911853973974,10.440974499336638,64.81699845850623,87.66077708241937,152.4777755409256,37.66085244485395,6.066556757510521,4.485654965507495,2.5788413990500496
bmshj2018_factorized,BMSHJ 2018 Factorized,pretrained_reference,4,0.013,2998147,2.998147,0.4403788248697917,31.27708471591863,10.4025425001358,68.05639712426152,88.69102066698058,156.7474177912421,37.79998976162479,5.777796307407256,4.433549157997155,2.508596349087481
mbt2018_mean,MBT 2018 Mean,pretrained_reference,1,0.0018,7028003,7.028003,0.12392171223958333,27.69947298233046,11.373788667697227,72.38149891539554,90.38205066705511,162.76354958245065,34.57212117161763,5.4325484535712345,4.350598344449049,2.4158726017511047
mbt2018_mean,MBT 2018 Mean,pretrained_reference,2,0.0035,7028003,7.028003,0.19798109266493058,29.358805733120708,11.37684412606177,76.47555191700424,95.9198520413338,172.39540395833805,34.56283619982376,5.141721637089211,4.099422503597642,2.2808960736275
mbt2018_mean,MBT 2018 Mean,pretrained_reference,3,0.0067,7028003,7.028003,0.30724419487847227,31.128920679899732,11.299904292172869,78.05934112487496,95.74993483268675,173.8092759575617,34.79817083693088,5.037398398879066,4.106697311983605,2.2623418562310214
mbt2018_mean,MBT 2018 Mean,pretrained_reference,4,0.013,7028003,7.028003,0.4606119791666667,32.95067460555188,11.388028376435008,74.86148387761205,96.7826714580345,171.64415533564656,34.52889183290701,5.25258089517505,4.062876071472161,2.2908790528350607
mbt2018,MBT 2018,pretrained_reference,1,0.0018,14130467,14.130467,0.11053805881076388,28.088679137411333,15.829119875585699,626.3756588329367,2012.7982754165714,2639.173934249508,24.841305334131885,0.6277638577665042,0.19535787803604884,0.14899207471591575
mbt2018,MBT 2018,pretrained_reference,2,0.0035,14130467,14.130467,0.18696763780381945,29.645278929166892,16.11207354229312,634.6253480011607,2040.9609659588266,2675.5863139599874,24.405052457576872,0.6196033632102588,0.19266218539131655,0.14696442344183722
mbt2018,MBT 2018,pretrained_reference,3,0.0067,14130467,14.130467,0.2877027723524305,31.362354815435165,16.03784087395373,627.3722510013613,2021.906400625691,2649.278651627052,24.51801355870807,0.6267666435236499,0.19447784520505842,0.14842379821333884
mbt2018,MBT 2018,pretrained_reference,4,0.013,14130467,14.130467,0.43233913845486116,33.085633658314315,15.962877707958492,655.2810208740993,2072.3984619168427,2727.679482790942,24.63315244242943,0.6000723162643673,0.18973957336191954,0.14415769978870985
cheng2020_anchor,Cheng 2020 Anchor,pretrained_reference,1,0.0018,11833149,11.833149,0.119598388671875,28.582315720732193,21.88870854236787,706.7842041239297,2097.8111773329147,2804.5953814568443,17.964330752492298,0.556345200848677,0.18744108347249888,0.14020418153714007
cheng2020_anchor,Cheng 2020 Anchor,pretrained_reference,2,0.0035,11833149,11.833149,0.18380398220486113,29.96846309769227,21.826636582773062,691.5383777480505,2081.5591318720785,2773.097509620129,18.015418844255212,0.5686105249581118,0.18890455427339017,0.1417966727227938
cheng2020_anchor,Cheng 2020 Anchor,pretrained_reference,3,0.0067,11833149,11.833149,0.2709554036458333,31.342696213687418,21.66685254208763,672.5067796251096,2020.5338250386073,2693.0406046637167,18.14827507761832,0.5847019121787874,0.19460995660020025,0.1460119091108548
cheng2020_anchor,Cheng 2020 Anchor,pretrained_reference,4,0.013,26598956,26.598956,0.4173719618055555,33.38952536526792,39.5265222487069,778.9727665422106,2172.4052255419033,2951.377992084114,9.948155760474576,0.5047878653646009,0.18100490432300118,0.13323132484373199
